0.000000000000000000e+00 4.896500694764867490e+00
7.200000000000005684e+01 4.896500694764867490e+00
1.440000000000000000e+02 4.896500694764867490e+00
-1.440000000000000000e+02 4.896500694764867490e+00
-7.200000000000005684e+01 4.896500694764867490e+00
-1.766623266702087847e+02 5.951280879394956713e+01
1.766623266702087562e+02 5.951280879394956713e+01
1.748627652944666693e+02 6.503973331301467908e+01
-1.800000000000000000e+02 6.833144951768684905e+01
-1.748627652944666693e+02 6.503973331301469329e+01
-1.439999999999999716e+02 1.116685504823131367e+02
-1.491372347055333023e+02 1.149602666869853067e+02
-1.473376733297911869e+02 1.204871912060504684e+02
-1.406623266702087562e+02 1.204871912060504684e+02
-1.388627652944666693e+02 1.149602666869853067e+02
-1.080000000000000284e+02 6.833144951768686326e+01
-1.028627652944666977e+02 6.503973331301469329e+01
-1.046623266702087847e+02 5.951280879394956713e+01
-1.113376733297912580e+02 5.951280879394956713e+01
-1.131372347055333591e+02 6.503973331301467908e+01
-6.866232667020875624e+01 1.204871912060504258e+02
-6.686276529446665506e+01 1.149602666869852783e+02
-7.200000000000000000e+01 1.116685504823131225e+02
-7.713723470553335915e+01 1.149602666869853067e+02
-7.533767332979127218e+01 1.204871912060504258e+02
-3.600000000000005684e+01 6.833144951768687747e+01
-3.086276529446669770e+01 6.503973331301470751e+01
-3.266232667020881308e+01 5.951280879394958845e+01
-3.933767332979124376e+01 5.951280879394960266e+01
-4.113723470553333073e+01 6.503973331301470751e+01
-5.137234705533330725e+00 1.149602666869853067e+02
-3.337673329791215338e+00 1.204871912060504258e+02
3.337673329791215338e+00 1.204871912060504258e+02
5.137234705533302304e+00 1.149602666869853067e+02
0.000000000000000000e+00 1.116685504823131367e+02
1.028627652944667261e+02 6.503973331301469329e+01
1.080000000000000000e+02 6.833144951768686326e+01
1.131372347055333876e+02 6.503973331301467908e+01
1.113376733297912438e+02 5.951280879394956713e+01
1.046623266702088131e+02 5.951280879394956713e+01
1.439999999999999432e+02 1.116685504823131225e+02
1.388627652944666124e+02 1.149602666869852783e+02
1.406623266702086994e+02 1.204871912060504542e+02
1.473376733297911869e+02 1.204871912060504542e+02
1.491372347055333307e+02 1.149602666869853209e+02
3.600000000000005684e+01 6.833144951768687747e+01
4.113723470553333073e+01 6.503973331301470751e+01
3.933767332979124376e+01 5.951280879394960266e+01
3.266232667020881308e+01 5.951280879394958845e+01
3.086276529446669770e+01 6.503973331301470751e+01
7.713723470553338757e+01 1.149602666869853067e+02
7.200000000000000000e+01 1.116685504823131225e+02
6.686276529446666927e+01 1.149602666869852783e+02
6.866232667020875624e+01 1.204871912060504258e+02
7.533767332979127218e+01 1.204871912060504258e+02
-1.080000000000000142e+02 1.751034993052351183e+02
-1.800000000000000000e+02 1.751034993052351183e+02
1.080000000000000000e+02 1.751034993052351183e+02
3.599999999999994316e+01 1.751034993052351183e+02
-3.599999999999994316e+01 1.751034993052351183e+02
-1.394802559788603844e+02 6.120232571743705563e+01
-1.391951874724565812e+02 5.553229225028113802e+01
-1.439999999999999716e+02 5.299660209417288570e+01
-1.488048125275433904e+02 5.553229225028114513e+01
-1.485197440211395872e+02 6.120232571743701300e+01
-1.439999999999999716e+02 6.356844908290513274e+01
-1.664999999999999716e+02 9.277612008867654936e+01
-1.623338897764659237e+02 9.486278429558760195e+01
-1.575000000000000000e+02 9.187486448617464418e+01
-1.575000000000000000e+02 8.722387991132349327e+01
-1.616661102235341332e+02 8.513721570441241226e+01
-1.664999999999999716e+02 8.812513551382532739e+01
-1.305000000000000000e+02 9.187486448617464418e+01
-1.256661102235341332e+02 9.486278429558758774e+01
-1.215000000000000568e+02 9.277612008867653515e+01
-1.215000000000000568e+02 8.812513551382538424e+01
-1.263338897764659521e+02 8.513721570441242648e+01
-1.305000000000000000e+02 8.722387991132347906e+01
9.801915069008043702e+01 3.210955413657120516e+01
1.031428403885524858e+02 3.577987409162945198e+01
1.128571596114475710e+02 3.577987409162944488e+01
1.179808493099195630e+02 3.210955413657121937e+01
1.140758749687008162e+02 2.788600870107657670e+01
1.019241250312991838e+02 2.788600870107657670e+01
1.665000000000000000e+02 8.812513551382532739e+01
1.616661102235341332e+02 8.513721570441239805e+01
1.575000000000000000e+02 8.722387991132349327e+01
1.575000000000000000e+02 9.187486448617465840e+01
1.623338897764658668e+02 9.486278429558761616e+01
1.665000000000000000e+02 9.277612008867654936e+01
-7.680481252754344723e+01 5.553229225028115934e+01
-7.651974402113962981e+01 6.120232571743702010e+01
-7.200000000000002842e+01 6.356844908290512564e+01
-6.748025597886039861e+01 6.120232571743701300e+01
-6.719518747245658119e+01 5.553229225028114513e+01
-7.200000000000002842e+01 5.299660209417288570e+01
-1.739241250312992122e+02 2.788600870107657670e+01
1.739241250312991838e+02 2.788600870107657670e+01
1.700191506900804939e+02 3.210955413657121937e+01
1.751428403885524290e+02 3.577987409162946619e+01
-1.751428403885524290e+02 3.577987409162946619e+01
-1.700191506900804654e+02 3.210955413657121937e+01
-1.125197440211395588e+02 1.187976742825629941e+02
-1.128048125275433620e+02 1.244677077497188975e+02
-1.080000000000000568e+02 1.270033979058271143e+02
-1.031951874724566096e+02 1.244677077497188407e+02
